original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,Heat,17.924927,15/12/1995,170,Heat,7.7,1886,7.99
en,Balto,12.140733,22/12/1995,78,Balto,7.1,423,6.99
en,Nixon,5.092,22/12/1995,192,Nixon,7.1,72,6.99
en,Casino,10.137389,22/11/1995,178,Casino,7.8,1343,7.99
en,Sense and Sensibility,10.673167,13/12/1995,136,Sense and Sensibility,7.2,364,6.99
en,Leaving Las Vegas,10.332025,27/10/1995,112,Leaving Las Vegas,7.1,365,6.99
en,Twelve Monkeys,12.297305,29/12/1995,129,Twelve Monkeys,7.4,2470,6.99
en,Se7en,18.45743,22/09/1995,127,Se7en,8.1,5915,7.99
en,The Usual Suspects,16.302466,19/07/1995,106,The Usual Suspects,8.1,3334,7.99
en,A Midwinter's Tale,0.513391,01/12/1995,99,A Midwinter's Tale,7.5,6,7.99
en,The Bridges of Madison County,5.951077,28/05/1995,135,The Bridges of Madison County,7.3,397,6.99
en,Braveheart,20.755149,24/05/1995,177,Braveheart,7.7,3404,7.99
en,Taxi Driver,14.092713,07/02/1976,114,Taxi Driver,8.1,2632,7.99
en,Margaret's Museum,0.372697,13/09/1995,114,Margaret's Museum,7.5,2,7.99
en,Anne Frank Remembered,0.243986,08/06/1995,117,Anne Frank Remembered,7.3,4,6.99
en,The Basketball Diaries,7.415144,21/04/1995,102,The Basketball Diaries,7.2,472,6.99
en,Apollo 13,18.761467,30/06/1995,140,Apollo 13,7.3,1637,6.99
en,Crumb,3.620388,10/09/1994,119,Crumb,7.6,71,7.99
en,Living in Oblivion,10.058329,20/01/1995,89,Living in Oblivion,7.2,64,6.99
en,Reckless,0.119713,17/11/1995,91,Reckless,10,1,9.99
en,Safe,8.180047,23/06/1995,119,Safe,7.2,62,6.99
en,Smoke,5.552946,09/06/1995,112,Smoke,7.2,115,6.99
en,Before the Rain,3.525649,09/06/1994,113,Before the Rain,7.7,45,7.99
en,Before Sunrise,11.304979,27/01/1995,105,Before Sunrise,7.7,984,7.99
en,The Cure,2.686342,21/04/1995,97,The Cure,7.2,58,6.99
en,Clerks,10.513367,13/09/1994,92,Clerks,7.4,769,6.99
en,Death and the Maiden,5.484156,04/05/1994,103,Death and the Maiden,7.1,92,6.99
en,Dolores Claiborne,5.8025,24/03/1995,132,Dolores Claiborne,7.1,183,6.99
en,Ed Wood,11.720358,27/09/1994,127,Ed Wood,7.3,639,6.99
en,Hoop Dreams,9.47666,12/09/1994,171,Hoop Dreams,7.7,91,7.99
en,Interview with the Vampire,11.970205,11/11/1994,123,Interview with the Vampire,7.2,1558,6.99
en,Star Wars,42.149697,25/05/1977,121,Star Wars,8.1,6778,7.99
en,A Little Princess,7.731725,10/05/1995,97,A Little Princess,7.4,207,6.99
en,Legends of the Fall,12.199047,16/12/1994,133,Legends of the Fall,7.2,636,6.99
en,Nina Takes a Lover,0.769522,03/03/1995,100,Nina Takes a Lover,7.4,4,6.99
en,Once Were Warriors,4.025276,02/09/1994,99,Once Were Warriors,7.6,106,7.99
en,Pulp Fiction,140.950236,10/09/1994,154,Pulp Fiction,8.3,8670,7.99
en,Quiz Show,7.772505,16/09/1994,133,Quiz Show,7.1,262,6.99
en,The Shawshank Redemption,51.645403,23/09/1994,142,The Shawshank Redemption,8.5,8358,7.99
en,What's Eating Gilbert Grape,10.3919,17/12/1993,118,What's Eating Gilbert Grape,7.5,943,7.99
en,"The Adventures of Priscilla, Queen of the Desert",8.328596,31/05/1994,104,"The Adventures of Priscilla, Queen of the Desert",7.2,174,6.99
en,The Crow,15.799336,11/05/1994,102,The Crow,7.3,980,6.99
en,Forrest Gump,48.307194,06/07/1994,142,Forrest Gump,8.2,8147,7.99
en,The Lion King,21.605761,23/06/1994,89,The Lion King,8,5520,7.99
en,The Secret Adventures of Tom Thumb,0.381704,10/12/1993,61,The Secret Adventures of Tom Thumb,7.1,8,6.99
en,Girl in the Cadillac,0.405392,24/10/1995,89,Girl in the Cadillac,10,1,9.99
en,In the Mouth of Madness,8.497643,12/12/1994,95,In the Mouth of Madness,7.1,307,6.99
en,8 Seconds,1.888534,25/02/1994,105,8 Seconds,7.2,22,6.99
en,A Bronx Tale,6.115628,14/09/1993,121,A Bronx Tale,7.4,447,6.99
en,Carlito's Way,8.698509,10/11/1993,144,Carlito's Way,7.7,805,7.99
en,Dazed and Confused,6.8652,24/09/1993,102,Dazed and Confused,7.4,588,6.99
en,The Fugitive,10.08937,06/08/1993,130,The Fugitive,7.2,1240,6.99
en,The Hudsucker Proxy,7.550545,11/03/1994,111,The Hudsucker Proxy,7.1,280,6.99
